API,Module,Controller,Handler,Request DTO,Response DTO,Permission,Enforcement Status,Source
POST /api/v1/analytics/metrics/evaluations,analytics,SpringAnalyticsController,runMetricEvaluation,CreateAnalyticsDatasetRequest; CreateAnalyticsInsightRequest; RunMetricEvaluationRequest; RunProjectionRequest; package-info,AnalyticsDatasetResponse; AnalyticsInsightResponse; AnalyticsProjectionRunResponse; MetricEvaluationRunResponse; package-info,HIDRA_ANALYTICS_METRICS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/analytics/api/rest/controller/SpringAnalyticsController.java
POST /api/v1/analytics/projections/runs,analytics,SpringAnalyticsController,runProjection,CreateAnalyticsDatasetRequest; CreateAnalyticsInsightRequest; RunMetricEvaluationRequest; RunProjectionRequest; package-info,AnalyticsDatasetResponse; AnalyticsInsightResponse; AnalyticsProjectionRunResponse; MetricEvaluationRunResponse; package-info,HIDRA_ANALYTICS_PROJECTIONS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/analytics/api/rest/controller/SpringAnalyticsController.java
POST /api/v1/analytics/run-metric-evaluation,analytics,SpringAnalyticsController,runMetricEvaluation,CreateAnalyticsDatasetRequest; CreateAnalyticsInsightRequest; RunMetricEvaluationRequest; RunProjectionRequest; package-info,AnalyticsDatasetResponse; AnalyticsInsightResponse; AnalyticsProjectionRunResponse; MetricEvaluationRunResponse; package-info,HIDRA_ANALYTICS_RUN_METRIC_EVALUATION_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/analytics/api/rest/controller/SpringAnalyticsController.java
POST /api/v1/analytics/run-projection,analytics,SpringAnalyticsController,runProjection,CreateAnalyticsDatasetRequest; CreateAnalyticsInsightRequest; RunMetricEvaluationRequest; RunProjectionRequest; package-info,AnalyticsDatasetResponse; AnalyticsInsightResponse; AnalyticsProjectionRunResponse; MetricEvaluationRunResponse; package-info,HIDRA_ANALYTICS_RUN_PROJECTION_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/analytics/api/rest/controller/SpringAnalyticsController.java
POST /api/v1/assets/asset-conditions,assets,SpringAssetsController,recordAssetCondition,CreateMaintenanceWorkOrderRequest; RecordAssetConditionRequest; RegisterMaintainableAssetRequest; package-info,AssetConditionResponse; MaintainableAssetResponse; MaintenanceWorkOrderResponse; package-info,HIDRA_ASSETS_ASSET_CONDITIONS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/assets/api/rest/controller/SpringAssetsController.java
GET /api/v1/assets/capabilities,assets,SpringAssetsController,capabilities,Unable to determine from static route evidence,AssetConditionResponse; MaintainableAssetResponse; MaintenanceWorkOrderResponse; package-info,HIDRA_ASSETS_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/assets/api/rest/controller/SpringAssetsController.java
POST /api/v1/assets/create-maintenance-work-order,assets,SpringAssetsController,createMaintenanceWorkOrder,CreateMaintenanceWorkOrderRequest; RecordAssetConditionRequest; RegisterMaintainableAssetRequest; package-info,AssetConditionResponse; MaintainableAssetResponse; MaintenanceWorkOrderResponse; package-info,HIDRA_ASSETS_CREATE_MAINTENANCE_WORK_ORDER_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/assets/api/rest/controller/SpringAssetsController.java
POST /api/v1/assets/maintainable-assets,assets,SpringAssetsController,registerMaintainableAsset,CreateMaintenanceWorkOrderRequest; RecordAssetConditionRequest; RegisterMaintainableAssetRequest; package-info,AssetConditionResponse; MaintainableAssetResponse; MaintenanceWorkOrderResponse; package-info,HIDRA_ASSETS_MAINTAINABLE_ASSETS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/assets/api/rest/controller/SpringAssetsController.java
POST /api/v1/assets/maintenance-work-orders,assets,SpringAssetsController,createMaintenanceWorkOrder,CreateMaintenanceWorkOrderRequest; RecordAssetConditionRequest; RegisterMaintainableAssetRequest; package-info,AssetConditionResponse; MaintainableAssetResponse; MaintenanceWorkOrderResponse; package-info,HIDRA_ASSETS_MAINTENANCE_WORK_ORDERS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/assets/api/rest/controller/SpringAssetsController.java
POST /api/v1/assets/record-asset-condition,assets,SpringAssetsController,recordAssetCondition,CreateMaintenanceWorkOrderRequest; RecordAssetConditionRequest; RegisterMaintainableAssetRequest; package-info,AssetConditionResponse; MaintainableAssetResponse; MaintenanceWorkOrderResponse; package-info,HIDRA_ASSETS_RECORD_ASSET_CONDITION_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/assets/api/rest/controller/SpringAssetsController.java
POST /api/v1/assets/register-maintainable-asset,assets,SpringAssetsController,registerMaintainableAsset,CreateMaintenanceWorkOrderRequest; RecordAssetConditionRequest; RegisterMaintainableAssetRequest; package-info,AssetConditionResponse; MaintainableAssetResponse; MaintenanceWorkOrderResponse; package-info,HIDRA_ASSETS_REGISTER_MAINTAINABLE_ASSET_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/assets/api/rest/controller/SpringAssetsController.java
POST /api/v1/audit/access-records,audit,SpringAuditController,recordAuditAccess,RecordAuditAccessRequest; RecordAuditEventRequest; RequestAuditExportRequest; package-info,AuditAccessRecordResponse; AuditEventResponse; AuditExportRequestResponse; package-info,HIDRA_AUDIT_ACCESS_RECORDS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/audit/api/rest/controller/SpringAuditController.java
GET /api/v1/audit/capabilities,audit,SpringAuditController,capabilities,Unable to determine from static route evidence,AuditAccessRecordResponse; AuditEventResponse; AuditExportRequestResponse; package-info,HIDRA_AUDIT_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/audit/api/rest/controller/SpringAuditController.java
POST /api/v1/audit/events,audit,SpringAuditController,recordAuditEvent,RecordAuditAccessRequest; RecordAuditEventRequest; RequestAuditExportRequest; package-info,AuditAccessRecordResponse; AuditEventResponse; AuditExportRequestResponse; package-info,HIDRA_AUDIT_EVENTS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/audit/api/rest/controller/SpringAuditController.java
POST /api/v1/audit/exports,audit,SpringAuditController,requestAuditExport,RecordAuditAccessRequest; RecordAuditEventRequest; RequestAuditExportRequest; package-info,AuditAccessRecordResponse; AuditEventResponse; AuditExportRequestResponse; package-info,HIDRA_AUDIT_EXPORTS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/audit/api/rest/controller/SpringAuditController.java
POST /api/v1/audit/record-audit-access,audit,SpringAuditController,recordAuditAccess,RecordAuditAccessRequest; RecordAuditEventRequest; RequestAuditExportRequest; package-info,AuditAccessRecordResponse; AuditEventResponse; AuditExportRequestResponse; package-info,HIDRA_AUDIT_RECORD_AUDIT_ACCESS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/audit/api/rest/controller/SpringAuditController.java
POST /api/v1/audit/record-audit-event,audit,SpringAuditController,recordAuditEvent,RecordAuditAccessRequest; RecordAuditEventRequest; RequestAuditExportRequest; package-info,AuditAccessRecordResponse; AuditEventResponse; AuditExportRequestResponse; package-info,HIDRA_AUDIT_RECORD_AUDIT_EVENT_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/audit/api/rest/controller/SpringAuditController.java
POST /api/v1/audit/request-audit-export,audit,SpringAuditController,requestAuditExport,RecordAuditAccessRequest; RecordAuditEventRequest; RequestAuditExportRequest; package-info,AuditAccessRecordResponse; AuditEventResponse; AuditExportRequestResponse; package-info,HIDRA_AUDIT_REQUEST_AUDIT_EXPORT_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/audit/api/rest/controller/SpringAuditController.java
GET /api/v1/configuration/capabilities,configuration,SpringConfigurationController,capabilities,Unable to determine from static route evidence,ConfigurationDefinitionResponse; ConfigurationValueResponse; FeatureFlagResponse; package-info,HIDRA_CONFIGURATION_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/configuration/api/rest/controller/SpringConfigurationController.java
POST /api/v1/configuration/create-configuration-definition,configuration,SpringConfigurationController,createConfigurationDefinition,CreateConfigurationDefinitionRequest; CreateFeatureFlagRequest; SetConfigurationValueRequest; package-info,ConfigurationDefinitionResponse; ConfigurationValueResponse; FeatureFlagResponse; package-info,HIDRA_CONFIGURATION_CREATE_CONFIGURATION_DEFINITION_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/configuration/api/rest/controller/SpringConfigurationController.java
POST /api/v1/configuration/create-feature-flag,configuration,SpringConfigurationController,createFeatureFlag,CreateConfigurationDefinitionRequest; CreateFeatureFlagRequest; SetConfigurationValueRequest; package-info,ConfigurationDefinitionResponse; ConfigurationValueResponse; FeatureFlagResponse; package-info,HIDRA_CONFIGURATION_CREATE_FEATURE_FLAG_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/configuration/api/rest/controller/SpringConfigurationController.java
POST /api/v1/configuration/definitions,configuration,SpringConfigurationController,createConfigurationDefinition,CreateConfigurationDefinitionRequest; CreateFeatureFlagRequest; SetConfigurationValueRequest; package-info,ConfigurationDefinitionResponse; ConfigurationValueResponse; FeatureFlagResponse; package-info,HIDRA_CONFIGURATION_DEFINITIONS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/configuration/api/rest/controller/SpringConfigurationController.java
POST /api/v1/configuration/feature-flags,configuration,SpringConfigurationController,createFeatureFlag,CreateConfigurationDefinitionRequest; CreateFeatureFlagRequest; SetConfigurationValueRequest; package-info,ConfigurationDefinitionResponse; ConfigurationValueResponse; FeatureFlagResponse; package-info,HIDRA_CONFIGURATION_FEATURE_FLAGS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/configuration/api/rest/controller/SpringConfigurationController.java
POST /api/v1/configuration/set-configuration-value,configuration,SpringConfigurationController,setConfigurationValue,CreateConfigurationDefinitionRequest; CreateFeatureFlagRequest; SetConfigurationValueRequest; package-info,ConfigurationDefinitionResponse; ConfigurationValueResponse; FeatureFlagResponse; package-info,HIDRA_CONFIGURATION_SET_CONFIGURATION_VALUE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/configuration/api/rest/controller/SpringConfigurationController.java
POST /api/v1/configuration/values,configuration,SpringConfigurationController,setConfigurationValue,CreateConfigurationDefinitionRequest; CreateFeatureFlagRequest; SetConfigurationValueRequest; package-info,ConfigurationDefinitionResponse; ConfigurationValueResponse; FeatureFlagResponse; package-info,HIDRA_CONFIGURATION_VALUES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/configuration/api/rest/controller/SpringConfigurationController.java
GET /api/v1/custody/capabilities,custody,SpringCustodyController,capabilities,Unable to determine from static route evidence,CustodyDiscrepancyResponse; CustodyMeasurementPeriodResponse; CustodyTransferTicketResponse; package-info,HIDRA_CUSTODY_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/custody/api/rest/controller/SpringCustodyController.java
POST /api/v1/custody/create-transfer-ticket,custody,SpringCustodyController,createTransferTicket,CreateCustodyTransferTicketRequest; OpenCustodyDiscrepancyRequest; OpenCustodyMeasurementPeriodRequest; package-info,CustodyDiscrepancyResponse; CustodyMeasurementPeriodResponse; CustodyTransferTicketResponse; package-info,HIDRA_CUSTODY_CREATE_TRANSFER_TICKET_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/custody/api/rest/controller/SpringCustodyController.java
POST /api/v1/custody/discrepancies,custody,SpringCustodyController,openDiscrepancy,CreateCustodyTransferTicketRequest; OpenCustodyDiscrepancyRequest; OpenCustodyMeasurementPeriodRequest; package-info,CustodyDiscrepancyResponse; CustodyMeasurementPeriodResponse; CustodyTransferTicketResponse; package-info,HIDRA_CUSTODY_DISCREPANCIES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/custody/api/rest/controller/SpringCustodyController.java
POST /api/v1/custody/measurement-periods,custody,SpringCustodyController,openMeasurementPeriod,CreateCustodyTransferTicketRequest; OpenCustodyDiscrepancyRequest; OpenCustodyMeasurementPeriodRequest; package-info,CustodyDiscrepancyResponse; CustodyMeasurementPeriodResponse; CustodyTransferTicketResponse; package-info,HIDRA_CUSTODY_MEASUREMENT_PERIODS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/custody/api/rest/controller/SpringCustodyController.java
POST /api/v1/custody/open-discrepancy,custody,SpringCustodyController,openDiscrepancy,CreateCustodyTransferTicketRequest; OpenCustodyDiscrepancyRequest; OpenCustodyMeasurementPeriodRequest; package-info,CustodyDiscrepancyResponse; CustodyMeasurementPeriodResponse; CustodyTransferTicketResponse; package-info,HIDRA_CUSTODY_OPEN_DISCREPANCY_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/custody/api/rest/controller/SpringCustodyController.java
POST /api/v1/custody/open-measurement-period,custody,SpringCustodyController,openMeasurementPeriod,CreateCustodyTransferTicketRequest; OpenCustodyDiscrepancyRequest; OpenCustodyMeasurementPeriodRequest; package-info,CustodyDiscrepancyResponse; CustodyMeasurementPeriodResponse; CustodyTransferTicketResponse; package-info,HIDRA_CUSTODY_OPEN_MEASUREMENT_PERIOD_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/custody/api/rest/controller/SpringCustodyController.java
POST /api/v1/custody/transfer-tickets,custody,SpringCustodyController,createTransferTicket,CreateCustodyTransferTicketRequest; OpenCustodyDiscrepancyRequest; OpenCustodyMeasurementPeriodRequest; package-info,CustodyDiscrepancyResponse; CustodyMeasurementPeriodResponse; CustodyTransferTicketResponse; package-info,HIDRA_CUSTODY_TRANSFER_TICKETS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/custody/api/rest/controller/SpringCustodyController.java
GET /api/v1/documents/capabilities,documents,SpringDocumentsController,capabilities,Unable to determine from static route evidence,DocumentResponse; DocumentTargetLinkResponse; DocumentVersionResponse; package-info,HIDRA_DOCUMENTS_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/documents/api/rest/controller/SpringDocumentsController.java
POST /api/v1/documents/document-versions,documents,SpringDocumentsController,uploadDocumentVersion,LinkDocumentToTargetRequest; RegisterDocumentRequest; UploadDocumentVersionRequest; package-info,DocumentResponse; DocumentTargetLinkResponse; DocumentVersionResponse; package-info,HIDRA_DOCUMENTS_DOCUMENT_VERSIONS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/documents/api/rest/controller/SpringDocumentsController.java
POST /api/v1/documents/documents,documents,SpringDocumentsController,registerDocument,LinkDocumentToTargetRequest; RegisterDocumentRequest; UploadDocumentVersionRequest; package-info,DocumentResponse; DocumentTargetLinkResponse; DocumentVersionResponse; package-info,HIDRA_DOCUMENTS_DOCUMENTS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/documents/api/rest/controller/SpringDocumentsController.java
POST /api/v1/documents/link-document-to-target,documents,SpringDocumentsController,linkDocumentToTarget,LinkDocumentToTargetRequest; RegisterDocumentRequest; UploadDocumentVersionRequest; package-info,DocumentResponse; DocumentTargetLinkResponse; DocumentVersionResponse; package-info,HIDRA_DOCUMENTS_LINK_DOCUMENT_TO_TARGET_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/documents/api/rest/controller/SpringDocumentsController.java
POST /api/v1/documents/register-document,documents,SpringDocumentsController,registerDocument,LinkDocumentToTargetRequest; RegisterDocumentRequest; UploadDocumentVersionRequest; package-info,DocumentResponse; DocumentTargetLinkResponse; DocumentVersionResponse; package-info,HIDRA_DOCUMENTS_REGISTER_DOCUMENT_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/documents/api/rest/controller/SpringDocumentsController.java
POST /api/v1/documents/target-links,documents,SpringDocumentsController,linkDocumentToTarget,LinkDocumentToTargetRequest; RegisterDocumentRequest; UploadDocumentVersionRequest; package-info,DocumentResponse; DocumentTargetLinkResponse; DocumentVersionResponse; package-info,HIDRA_DOCUMENTS_TARGET_LINKS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/documents/api/rest/controller/SpringDocumentsController.java
POST /api/v1/documents/upload-document-version,documents,SpringDocumentsController,uploadDocumentVersion,LinkDocumentToTargetRequest; RegisterDocumentRequest; UploadDocumentVersionRequest; package-info,DocumentResponse; DocumentTargetLinkResponse; DocumentVersionResponse; package-info,HIDRA_DOCUMENTS_UPLOAD_DOCUMENT_VERSION_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/documents/api/rest/controller/SpringDocumentsController.java
GET /api/v1/hse/capabilities,hse,SpringHseController,capabilities,Unable to determine from static route evidence,HseCapaResponse; HseCaseResponse; package-info,HIDRA_HSE_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/hse/api/rest/controller/SpringHseController.java
POST /api/v1/hse/capas,hse,SpringHseController,createHseCapa,CloseHseCaseRequest; CreateHseCapaRequest; OpenHseCaseRequest; package-info,HseCapaResponse; HseCaseResponse; package-info,HIDRA_HSE_CAPAS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/hse/api/rest/controller/SpringHseController.java
POST /api/v1/hse/cases,hse,SpringHseController,openHseCase,CloseHseCaseRequest; CreateHseCapaRequest; OpenHseCaseRequest; package-info,HseCapaResponse; HseCaseResponse; package-info,HIDRA_HSE_CASES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/hse/api/rest/controller/SpringHseController.java
POST /api/v1/hse/cases/closures,hse,SpringHseController,closeHseCase,CloseHseCaseRequest; CreateHseCapaRequest; OpenHseCaseRequest; package-info,HseCapaResponse; HseCaseResponse; package-info,HIDRA_HSE_CASES_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/hse/api/rest/controller/SpringHseController.java
POST /api/v1/hse/close-hse-case,hse,SpringHseController,closeHseCase,CloseHseCaseRequest; CreateHseCapaRequest; OpenHseCaseRequest; package-info,HseCapaResponse; HseCaseResponse; package-info,HIDRA_HSE_CLOSE_HSE_CASE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/hse/api/rest/controller/SpringHseController.java
POST /api/v1/hse/create-hse-capa,hse,SpringHseController,createHseCapa,CloseHseCaseRequest; CreateHseCapaRequest; OpenHseCaseRequest; package-info,HseCapaResponse; HseCaseResponse; package-info,HIDRA_HSE_CREATE_HSE_CAPA_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/hse/api/rest/controller/SpringHseController.java
POST /api/v1/hse/open-hse-case,hse,SpringHseController,openHseCase,CloseHseCaseRequest; CreateHseCapaRequest; OpenHseCaseRequest; package-info,HseCapaResponse; HseCaseResponse; package-info,HIDRA_HSE_OPEN_HSE_CASE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/hse/api/rest/controller/SpringHseController.java
GET /api/v1/identity/capabilities,identity,SpringIdentityController,capabilities,Unable to determine from static route evidence,PermissionDecisionResponse; UserResponse; package-info,HIDRA_IDENTITY_CAPABILITIES_READ,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/identity/api/rest/controller/SpringIdentityController.java
POST /api/v1/identity/create-user,identity,SpringIdentityController,createUser,CreateUserRequest; EvaluatePermissionRequest; package-info,PermissionDecisionResponse; UserResponse; package-info,HIDRA_IDENTITY_CREATE_USER_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/identity/api/rest/controller/SpringIdentityController.java
POST /api/v1/identity/evaluate,identity,SpringIdentityController,evaluate,CreateUserRequest; EvaluatePermissionRequest; package-info,PermissionDecisionResponse; UserResponse; package-info,HIDRA_IDENTITY_EVALUATE_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/identity/api/rest/controller/SpringIdentityController.java
POST /api/v1/identity/evaluate-permission,identity,SpringIdentityController,evaluate,CreateUserRequest; EvaluatePermissionRequest; package-info,PermissionDecisionResponse; UserResponse; package-info,HIDRA_IDENTITY_EVALUATE_PERMISSION_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/identity/api/rest/controller/SpringIdentityController.java
POST /api/v1/identity/permissions/evaluations,identity,SpringIdentityController,evaluate,CreateUserRequest; EvaluatePermissionRequest; package-info,PermissionDecisionResponse; UserResponse; package-info,HIDRA_IDENTITY_PERMISSIONS_EXECUTE,Derived metadata; route-specific backend @PreAuthorize evidence unavailable,src/main/java/dz/sh/hidra/modules/identity/api/rest/controller/SpringIdentityController.java
