route,page,module,purpose,personas,permissions,apis,workflows,widgets,notifications
/custody,Custody Workbench,custody,"Custody periods, tickets, discrepancies and transfer approvals.",Operational Engineers; Department Managers,HIDRA_CUSTODY_*_READ / HIDRA_CUSTODY_*_EXECUTE derived from permission catalog,GET /api/v1/custody/capabilities; GET /api/v1/custody/workbench/resources; GET /api/v1/custody/workbench/{resource}; POST /api/v1/custody/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/documents,Documents Workbench,documents,"Document registration, versions, linking and archive support.",Operational Engineers; Workflow Validators,HIDRA_DOCUMENTS_*_READ / HIDRA_DOCUMENTS_*_EXECUTE derived from permission catalog,GET /api/v1/documents/capabilities; GET /api/v1/documents/workbench/resources; GET /api/v1/documents/workbench/{resource}; POST /api/v1/documents/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/hse,Hse Workbench,hse,"Health, safety and environmental events, CAPA and compliance visibility.",Field Supervisors; Department Managers; Executives,HIDRA_HSE_*_READ / HIDRA_HSE_*_EXECUTE derived from permission catalog,GET /api/v1/hse/capabilities; GET /api/v1/hse/workbench/resources; GET /api/v1/hse/workbench/{resource}; POST /api/v1/hse/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/identity,Identity Workbench,identity,"Users, roles, delegated authorization and permission evaluation.",Administrators,HIDRA_IDENTITY_*_READ / HIDRA_IDENTITY_*_EXECUTE derived from permission catalog,GET /api/v1/identity/capabilities; GET /api/v1/identity/workbench/resources; GET /api/v1/identity/workbench/{resource}; POST /api/v1/identity/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/incident,Incident Workbench,incident,Incident records and response coordination.,Field Supervisors; Workflow Validators; Department Managers,HIDRA_INCIDENT_*_READ / HIDRA_INCIDENT_*_EXECUTE derived from permission catalog,GET /api/v1/incident/capabilities; GET /api/v1/incident/workbench/resources; GET /api/v1/incident/workbench/{resource}; POST /api/v1/incident/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/integration,Integration Workbench,integration,"Integration endpoints, external systems and data exchange governance.",Administrators,HIDRA_INTEGRATION_*_READ / HIDRA_INTEGRATION_*_EXECUTE derived from permission catalog,GET /api/v1/integration/capabilities; GET /api/v1/integration/workbench/resources; GET /api/v1/integration/workbench/{resource}; POST /api/v1/integration/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/integrity,Integrity Workbench,integrity,"Asset integrity inspections, defects, corrosion and mitigation.",Operational Engineers; Field Supervisors; Department Managers,HIDRA_INTEGRITY_*_READ / HIDRA_INTEGRITY_*_EXECUTE derived from permission catalog,GET /api/v1/integrity/capabilities; GET /api/v1/integrity/workbench/resources; GET /api/v1/integrity/workbench/{resource}; POST /api/v1/integrity/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/leakdetection,Leak Detection Workbench,leakdetection,"Leak candidates, leak signals, evaluations and decision support.",Control Room Operators; Operational Engineers; Field Supervisors,HIDRA_LEAKDETECTION_*_READ / HIDRA_LEAKDETECTION_*_EXECUTE derived from permission catalog,GET /api/v1/leakdetection/capabilities; GET /api/v1/leakdetection/workbench/resources; GET /api/v1/leakdetection/workbench/{resource}; POST /api/v1/leakdetection/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/monitoring,Monitoring Workbench,monitoring,"Operational monitoring, KPIs, events and status visibility.",Control Room Operators; Operational Engineers; Executives,HIDRA_MONITORING_*_READ / HIDRA_MONITORING_*_EXECUTE derived from permission catalog,GET /api/v1/monitoring/capabilities; GET /api/v1/monitoring/workbench/resources; GET /api/v1/monitoring/workbench/{resource}; POST /api/v1/monitoring/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/notification,Notification Workbench,notification,"Notification messages, async push delivery and delivery attempts.",Administrators; Control Room Operators,HIDRA_NOTIFICATION_*_READ / HIDRA_NOTIFICATION_*_EXECUTE derived from permission catalog,GET /api/v1/notification/capabilities; GET /api/v1/notification/workbench/resources; GET /api/v1/notification/workbench/{resource}; POST /api/v1/notification/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/organization,Organization Workbench,organization,SONATRACH organizational units and operational ownership boundaries.,Administrators; Department Managers,HIDRA_ORGANIZATION_*_READ / HIDRA_ORGANIZATION_*_EXECUTE derived from permission catalog,GET /api/v1/organization/capabilities; GET /api/v1/organization/workbench/resources; GET /api/v1/organization/workbench/{resource}; POST /api/v1/organization/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/party,Party Workbench,party,"External/internal parties, contacts and stakeholder master data.",Administrators; Department Managers,HIDRA_PARTY_*_READ / HIDRA_PARTY_*_EXECUTE derived from permission catalog,GET /api/v1/party/capabilities; GET /api/v1/party/workbench/resources; GET /api/v1/party/workbench/{resource}; POST /api/v1/party/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/planning,Planning Workbench,planning,"Operational plans, nominations, schedules and planning controls.",Operational Engineers; Department Managers,HIDRA_PLANNING_*_READ / HIDRA_PLANNING_*_EXECUTE derived from permission catalog,GET /api/v1/planning/capabilities; GET /api/v1/planning/workbench/resources; GET /api/v1/planning/workbench/{resource}; POST /api/v1/planning/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/reporting,Reporting Workbench,reporting,"Report definitions, report requests and report output lifecycle.",Department Managers; Executives; Operational Engineers,HIDRA_REPORTING_*_READ / HIDRA_REPORTING_*_EXECUTE derived from permission catalog,GET /api/v1/reporting/capabilities; GET /api/v1/reporting/workbench/resources; GET /api/v1/reporting/workbench/{resource}; POST /api/v1/reporting/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/risk,Risk Workbench,risk,Risk assessments and mitigations across operational assets.,Operational Engineers; Department Managers; Executives,HIDRA_RISK_*_READ / HIDRA_RISK_*_EXECUTE derived from permission catalog,GET /api/v1/risk/capabilities; GET /api/v1/risk/workbench/resources; GET /api/v1/risk/workbench/{resource}; POST /api/v1/risk/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/simulation,Simulation Workbench,simulation,"Simulation scenarios, runs and results for decision support.",Operational Engineers; Department Managers,HIDRA_SIMULATION_*_READ / HIDRA_SIMULATION_*_EXECUTE derived from permission catalog,GET /api/v1/simulation/capabilities; GET /api/v1/simulation/workbench/resources; GET /api/v1/simulation/workbench/{resource}; POST /api/v1/simulation/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/telemetry,Telemetry Workbench,telemetry,Operational measurements and time-series ingestion context.,Operational Engineers; Control Room Operators,HIDRA_TELEMETRY_*_READ / HIDRA_TELEMETRY_*_EXECUTE derived from permission catalog,GET /api/v1/telemetry/capabilities; GET /api/v1/telemetry/workbench/resources; GET /api/v1/telemetry/workbench/{resource}; POST /api/v1/telemetry/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/topology,Topology Workbench,topology,"Pipeline network topology, nodes, facilities, systems and GIS visualization.",Operational Engineers; Control Room Operators; Field Supervisors,HIDRA_TOPOLOGY_*_READ / HIDRA_TOPOLOGY_*_EXECUTE derived from permission catalog,GET /api/v1/topology/capabilities; GET /api/v1/topology/workbench/resources; GET /api/v1/topology/workbench/{resource}; POST /api/v1/topology/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
/workflow,Workflow Workbench,workflow,"Workflow instances, tasks, validation and approval routing.",Workflow Validators; Department Managers,HIDRA_WORKFLOW_*_READ / HIDRA_WORKFLOW_*_EXECUTE derived from permission catalog,GET /api/v1/workflow/capabilities; GET /api/v1/workflow/workbench/resources; GET /api/v1/workflow/workbench/{resource}; POST /api/v1/workflow/workbench/{resource}/search,Use module command endpoints for execution; exact workflow states unavailable unless exposed by the workflow module or domain events.,Module header; resource cards; searchable data grid; detail drawer; command action panel; audit strip,Use async notifications and realtime stream where related module events exist.
